Age,Gender,Education Level,Job Title,Years of Experience,Salary,Salary_lpa
32,Male,Bachelor's,Software Engineer,5,90000,10.8
28,Female,Master's,Data Analyst,3,65000,7.8
45,Male,PhD,Senior Manager,15,150000,18
36,Female,Bachelor's,Sales Associate,7,60000,7.2
52,Male,Master's,Director,20,200000,24
29,Male,Bachelor's,Marketing Analyst,2,55000,6.6
42,Female,Master's,Product Manager,12,120000,14.4
31,Male,Bachelor's,Sales Manager,4,80000,9.6
26,Female,Bachelor's,Marketing Coordinator,1,45000,5.4
38,Male,PhD,Senior Scientist,10,110000,13.2
29,Male,Master's,Software Developer,3,75000,9
48,Female,Bachelor's,HR Manager,18,140000,16.8
35,Male,Bachelor's,Financial Analyst,6,65000,7.8
40,Female,Master's,Project Manager,14,130000,15.6
27,Male,Bachelor's,Customer Service Rep,2,40000,4.8
44,Male,Bachelor's,Operations Manager,16,125000,15
33,Female,Master's,Marketing Manager,7,90000,10.8
39,Male,PhD,Senior Engineer,12,115000,13.8
25,Female,Bachelor's,Data Entry Clerk,0,35000,4.2
51,Male,Bachelor's,Sales Director,22,180000,21.6
34,Female,Master's,Business Analyst,5,80000,9.6
47,Male,Master's,VP of Operations,19,190000,22.8
30,Male,Bachelor's,IT Support,2,50000,6
36,Female,Bachelor's,Recruiter,9,60000,7.2
41,Male,Master's,Financial Manager,13,140000,16.8
28,Female,Bachelor's,Social Media Specialist,3,45000,5.4
37,Female,Master's,Software Manager,11,110000,13.2
24,Male,Bachelor's,Junior Developer,1,40000,4.8
43,Female,PhD,Senior Consultant,15,140000,16.8
33,Male,Master's,Product Designer,6,90000,10.8
50,Male,Bachelor's,CEO,25,250000,30
31,Female,Bachelor's,Accountant,4,55000,6.6
29,Male,Master's,Data Scientist,3,75000,9
39,Female,Bachelor's,Marketing Specialist,10,65000,7.8
46,Male,PhD,Senior Manager,20,170000,20.4
27,Male,Bachelor's,Technical Writer,2,45000,5.4
35,Female,Bachelor's,HR Generalist,7,60000,7.2
42,Male,Master's,Project Engineer,14,115000,13.8
26,Female,Bachelor's,Customer Success Rep,1,40000,4.8
49,Male,Bachelor's,Sales Executive,21,160000,19.2
34,Female,Master's,UX Designer,5,80000,9.6
48,Male,Master's,Operations Director,18,190000,22.8
30,Male,Bachelor's,Network Engineer,3,60000,7.2
36,Female,Bachelor's,Administrative Assistant,8,45000,5.4
41,Male,Master's,Strategy Consultant,13,130000,15.6
28,Female,Bachelor's,Copywriter,2,40000,4.8
32,Male,Bachelor's,Account Manager,5,75000,9
45,Female,Master's,Director of Marketing,16,180000,21.6
38,Male,PhD,Senior Scientist,11,120000,14.4
25,Male,Bachelor's,Help Desk Analyst,0,35000,4.2
51,Female,Bachelor's,Customer Service Manager,22,130000,15.6
33,Male,Master's,Business Intelligence Analyst,7,85000,10.2
40,Female,Bachelor's,Event Coordinator,12,60000,7.2
47,Male,Master's,VP of Finance,19,200000,24
29,Female,Bachelor's,Graphic Designer,3,50000,6
36,Male,Bachelor's,Sales Manager,9,95000,11.4
27,Female,Master's,UX Researcher,2,65000,7.8
43,Male,PhD,Senior Engineer,17,140000,16.8
30,Female,Bachelor's,Social Media Manager,4,55000,6.6
35,Male,Master's,Product Manager,7,105000,12.6
51,Female,Master's,Director of Operations,23,170000,20.4
29,Male,Bachelor's,Marketing Analyst,3,50000,6
40,Female,Bachelor's,HR Manager,12,80000,9.6
47,Male,PhD,Senior Data Scientist,21,180000,21.6
26,Male,Bachelor's,Junior Accountant,1,35000,4.2
38,Female,Master's,Digital Marketing Manager,10,90000,10.8
46,Male,Bachelor's,IT Manager,19,120000,14.4
31,Female,Bachelor's,Customer Service Representative,5,45000,5.4
34,Male,Master's,Business Development Manager,8,90000,10.8
49,Female,Master's,Senior Financial Analyst,18,150000,18
33,Male,Bachelor's,Web Developer,6,65000,7.8
39,Female,Bachelor's,Recruiter,11,70000,8.4
45,Male,PhD,Research Director,16,190000,22.8
28,Male,Bachelor's,Technical Support Specialist,2,40000,4.8
42,Female,Master's,Creative Director,14,120000,14.4
37,Male,Bachelor's,Project Manager,10,95000,11.4
50,Female,Bachelor's,Operations Manager,22,160000,19.2
32,Male,Master's,Senior Software Engineer,6,100000,12
48,Female,Master's,Human Resources Director,20,180000,21.6
30,Female,Bachelor's,Content Marketing Manager,3,55000,6.6
36,Male,Bachelor's,Technical Recruiter,8,70000,8.4
41,Female,Master's,Data Analyst,13,80000,9.6
25,Male,Bachelor's,Sales Representative,0,30000,3.6
52,Male,PhD,Chief Technology Officer,24,250000,30
29,Female,Bachelor's,Junior Designer,2,40000,4.8
34,Female,Master's,Financial Advisor,10,95000,11.4
27,Male,Bachelor's,Junior Account Manager,2,45000,5.4
40,Female,Bachelor's,HR Generalist,15,80000,9.6
46,Male,Master's,Senior Project Manager,21,135000,16.2
31,Female,Bachelor's,Marketing Coordinator,6,55000,6.6
36,Male,PhD,Principal Scientist,11,120000,14.4
29,Female,Bachelor's,Sales Associate,3,40000,4.8
43,Male,Bachelor's,Supply Chain Manager,18,105000,12.6
52,Female,Master's,Senior Marketing Manager,25,170000,20.4
33,Male,Bachelor's,Business Analyst,7,75000,9
39,Female,Bachelor's,Training Specialist,12,65000,7.8
47,Male,PhD,Research Scientist,22,160000,19.2
26,Male,Bachelor's,Junior Software Developer,1,35000,4.2
38,Female,Master's,Public Relations Manager,10,90000,10.8
45,Male,Bachelor's,Operations Analyst,20,110000,13.2
31,Female,Bachelor's,Event Coordinator,5,45000,5.4
35,Male,Master's,Product Marketing Manager,8,95000,11.4
49,Female,Master's,Senior HR Manager,19,150000,18
33,Male,Bachelor's,Junior Web Developer,5,50000,6
39,Female,Master's,Senior Project Coordinator,13,80000,9.6
44,Male,PhD,Chief Data Officer,16,220000,26.4
30,Female,Bachelor's,Digital Content Producer,3,50000,6
36,Male,Bachelor's,IT Support Specialist,7,60000,7.2
41,Female,Master's,Senior Marketing Analyst,14,100000,12
28,Male,Bachelor's,Customer Success Manager,2,40000,4.8
42,Female,Master's,Senior Graphic Designer,15,110000,13.2
37,Male,Bachelor's,Software Project Manager,9,95000,11.4
50,Female,Bachelor's,Supply Chain Analyst,22,130000,15.6
32,Male,Master's,Senior Business Analyst,6,90000,10.8
23,Female,Bachelor's,Junior Marketing Analyst,0.5,35000,4.2
31,Male,Master's,Senior Financial Analyst,6,95000,11.4
40,Female,Bachelor's,Office Manager,15,65000,7.8
48,Male,PhD,Principal Engineer,20,170000,20.4
29,Female,Bachelor's,Junior HR Generalist,3,45000,5.4
35,Male,Master's,Senior Product Manager,10,120000,14.4
42,Female,Bachelor's,Sales Manager,17,100000,12
53,Male,Master's,Director of Marketing,25,180000,21.6
33,Female,Bachelor's,Junior Operations Analyst,5,50000,6
38,Male,Bachelor's,Customer Service Manager,11,80000,9.6
44,Female,PhD,Senior Scientist,16,140000,16.8
26,Male,Bachelor's,Junior Accountant,2,40000,4.8
37,Female,Master's,Senior HR Generalist,9,95000,11.4
45,Male,Bachelor's,Sales Operations Manager,18,110000,13.2
32,Female,Bachelor's,Marketing Coordinator,4,50000,6
34,Male,Master's,Senior Software Developer,8,105000,12.6
50,Female,Master's,Director of Operations,21,160000,19.2
29,Male,Bachelor's,Junior Web Designer,3,45000,5.4
40,Female,Master's,Senior Training Specialist,12,100000,12
47,Male,PhD,Senior Research Scientist,22,160000,19.2
27,Male,Bachelor's,Junior Sales Representative,1,35000,4.2
39,Female,Bachelor's,Administrative Assistant,10,55000,6.6
46,Male,Master's,Senior Project Manager,19,140000,16.8
30,Female,Bachelor's,Junior Marketing Manager,4,50000,6
36,Male,Bachelor's,Junior Data Analyst,7,60000,7.2
43,Female,Master's,Senior Product Marketing Manager,14,120000,14.4
28,Male,Bachelor's,Junior Business Analyst,2,40000,4.8
41,Female,Master's,Senior Marketing Manager,13,110000,13.2
33,Male,Bachelor's,Junior Software Developer,5,50000,6
47,Male,Bachelor's,Senior Sales Manager,20,135000,16.2
25,Female,Master's,Junior Marketing Specialist,1.5,40000,4.8
34,Male,Bachelor's,Senior Business Analyst,8,90000,10.8
42,Female,PhD,Senior Data Scientist,16,150000,18
31,Male,Bachelor's,Junior Project Manager,4,60000,7.2
38,Female,Bachelor's,Senior Accountant,10,80000,9.6
45,Male,Master's,Director of Sales,19,175000,21
29,Female,Bachelor's,Junior Recruiter,3,45000,5.4
36,Male,Master's,Senior Business Development Manager,11,120000,14.4
43,Female,PhD,Senior Product Designer,18,140000,16.8
26,Male,Bachelor's,Junior Customer Support Specialist,2,35000,4.2
37,Female,Master's,Senior Marketing Analyst,9,95000,11.4
44,Male,Bachelor's,Senior IT Support Specialist,14,110000,13.2
32,Female,Bachelor's,Junior Financial Analyst,5,50000,6
33,Male,Master's,Senior Operations Manager,7,115000,13.8
51,Female,PhD,Director of Human Resources,23,185000,22.2
28,Male,Bachelor's,Junior Software Engineer,2,40000,4.8
39,Female,Bachelor's,Senior Sales Representative,12,90000,10.8
48,Male,Master's,Director of Product Management,21,175000,21
30,Female,Bachelor's,Junior Copywriter,3,45000,5.4
35,Male,Bachelor's,Senior Marketing Coordinator,7,80000,9.6
41,Female,Master's,Senior Human Resources Manager,13,120000,14.4
27,Male,Bachelor's,Junior Business Development Associate,1.5,35000,4.2
40,Female,Bachelor's,Senior Account Manager,14,110000,13.2
46,Male,PhD,Senior Researcher,18,150000,18
31,Female,Bachelor's,Junior HR Coordinator,4,50000,6
34,Male,Master's,Senior Software Engineer,9,105000,12.6
50,Female,Master's,Director of Finance,20,180000,21.6
